,id,region,price,year,manufacturer,model,fuel,odometer,transmission,size,type,state
51320,7316919992,sacramento,2200,2002,subaru,legacy,gas,240000,automatic,compact,coupe,ca
51321,7316919523,sacramento,8200,2013,honda,pilot lx,gas,177223,automatic,compact,SUV,ca
51322,7316919371,sacramento,53750,2017,mercedes-benz,gls 550,gas,53500,automatic,full-size,SUV,ca
51325,7316918099,sacramento,6650,2008,acura,tsx sedan,gas,160223,automatic,compact,sedan,ca
51328,7316916542,sacramento,8250,2010,honda,pilot exl 4wd,gas,184842,automatic,compact,SUV,ca
51330,7316916275,sacramento,7999,2007,pontiac,g6 gt convertible,gas,38000,automatic,mid-size,convertible,ca
51334,7316912741,sacramento,8399,2014,mitsubishi,lancer,gas,68000,automatic,mid-size,sedan,ca
51335,7316912126,sacramento,25999,2014,mercedes-benz,benz cls550,gas,59000,automatic,full-size,sedan,ca
51336,7316911301,sacramento,6999,2011,kia,soul,gas,113000,automatic,mid-size,hatchback,ca
51350,7316904464,sacramento,25991,2015,subaru,wrx,gas,84628,manual,compact,other,ca
51359,7316900308,sacramento,3000,2007,ford,edge limited,gas,191000,automatic,mid-size,SUV,ca
51367,7316899122,sacramento,5999,2007,ford,mustang,gas,197600,automatic,sub-compact,coupe,ca
51368,7316898864,sacramento,4999,2010,volkswagen,jetta,gas,177500,automatic,compact,sedan,ca
51374,7316891348,sacramento,27995,2012,ford,f150 supercrew cab,gas,70668,automatic,full-size,pickup,ca
51379,7316888057,sacramento,30900,1998,ford,e350 passenger van,diesel,159000,automatic,full-size,van,ca
51387,7316883635,sacramento,7988,2012,nissan,versa,gas,77174,automatic,compact,sedan,ca
51390,7316882795,sacramento,6200,2013,volkswagen,jetta,gas,123000,automatic,full-size,sedan,ca
51392,7316881559,sacramento,5995,2001,lexus,es,gas,170196,automatic,compact,sedan,ca
51393,7316881393,sacramento,9995,2009,mercedes-benz,s-class,gas,219327,automatic,full-size,sedan,ca
51396,7316880233,sacramento,20500,2015,ram,1500,diesel,81000,automatic,full-size,pickup,ca
51408,7316876561,sacramento,7495,2013,subaru,impreza,gas,151735,automatic,compact,wagon,ca
51409,7316876044,sacramento,4995,2006,jeep,liberty,gas,186000,automatic,mid-size,SUV,ca
51423,7316867885,sacramento,19999,2014,chevrolet,suburban,gas,161033,automatic,full-size,SUV,ca
51424,7316864353,sacramento,11882,2015,honda,fit,gas,62000,manual,compact,hatchback,ca
51427,7316861510,sacramento,4000,2007,jeep,patriot 4x4,gas,108803,automatic,mid-size,SUV,ca
51430,7316858714,sacramento,4500,2006,chrysler,300 touring,gas,106000,automatic,full-size,sedan,ca
51432,7316856307,sacramento,6315,2007,hyundai,santa fe,gas,139347,automatic,full-size,SUV,ca
51433,7316856305,sacramento,12955,2011,honda,pilot,gas,149156,automatic,full-size,SUV,ca
51442,7316853660,sacramento,13500,1927,ford,t,gas,100,manual,mid-size,sedan,ca
51443,7316853616,sacramento,14193,2009,toyota,tacoma,gas,171392,automatic,compact,truck,ca
51445,7316853050,sacramento,15300,2008,gmc,yukon denali,gas,107300,automatic,full-size,SUV,ca
51452,7316851577,sacramento,54900,2017,ford,f250 super duty lariat,gas,93350,automatic,full-size,pickup,ca
51454,7316847967,sacramento,1850,1997,ford,f150,gas,260000,automatic,full-size,pickup,ca
51455,7316847897,sacramento,17997,2012,honda,pilot,gas,86415,automatic,full-size,SUV,ca
51462,7316841805,sacramento,8000,2005,mercedes-benz,e500,gas,130302,automatic,full-size,sedan,ca
51470,7316840706,sacramento,24451,2015,ford,transit 150,gas,74148,automatic,full-size,van,ca
51481,7316834305,sacramento,4500,2004,nissan,frontier,gas,158000,manual,mid-size,pickup,ca
51483,7316833361,sacramento,32995,2018,ford,transit 350 van,gas,101617,automatic,full-size,van,ca
51486,7316831691,sacramento,34995,2011,ram,3500 regular cab,gas,39704,automatic,full-size,truck,ca
51490,7316827889,sacramento,21995,2015,chevrolet,silverado 1500,gas,65396,automatic,full-size,pickup,ca
51501,7316820257,sacramento,19000,2005,porsche,boxster,gas,43652,manual,compact,convertible,ca
51506,7316819160,sacramento,23955,2018,honda,civic,gas,7695,automatic,mid-size,sedan,ca
51511,7316817692,sacramento,9498,2011,kia,optima hybrid,hybrid,77571,automatic,full-size,sedan,ca
51516,7316815777,sacramento,52500,2016,ram,3500,diesel,24200,automatic,full-size,pickup,ca
51531,7316807664,sacramento,1500,2013,mercedes-benz,c250,gas,108637,automatic,mid-size,sedan,ca
51539,7316804305,sacramento,2200,2001,toyota,solara,gas,120000,automatic,mid-size,coupe,ca
51543,7316803230,sacramento,17998,2011,rover,sc,gas,99428,automatic,full-size,truck,ca
51545,7316802822,sacramento,3500,2007,toyota,prius,hybrid,232000,automatic,full-size,hatchback,ca
51547,7316802226,sacramento,7998,2016,chrysler,200 limited,gas,100404,automatic,full-size,sedan,ca
51549,7316801803,sacramento,16498,2011,rover,hse luxury,gas,96831,automatic,full-size,SUV,ca
51556,7316800923,sacramento,9498,2016,nissan,altima s,gas,90900,automatic,full-size,sedan,ca
51562,7316797889,sacramento,8900,2001,mercedes-benz,benz e320w4,gas,110000,automatic,full-size,sedan,ca
51576,7316744871,sacramento,10000,2007,lexus,gx470,gas,259000,automatic,full-size,SUV,ca
51583,7316786176,sacramento,29989,2012,chevrolet,silverado 2500hd,gas,40750,automatic,full-size,truck,ca
51597,7316783915,sacramento,14795,2015,ford,transit connect,gas,148219,automatic,full-size,van,ca
51601,7316779197,sacramento,15988,2014,lexus,ct hybrid,hybrid,97769,automatic,compact,hatchback,ca
51620,7316772022,sacramento,27955,2019,honda,accord,gas,19183,automatic,mid-size,sedan,ca
51623,7316771009,sacramento,58988,2015,ram,3500,diesel,52673,automatic,full-size,truck,ca
51628,7316769585,sacramento,21898,2019,hyundai,sonata,gas,23211,automatic,full-size,sedan,ca
51629,7316767745,sacramento,3500,2007,volkswagen,rabbit,gas,170000,manual,compact,coupe,ca
51630,7316767022,sacramento,14049,2014,ford,escape,gas,5,automatic,mid-size,SUV,ca
51634,7316763580,sacramento,12000,2013,bmw,650i,gas,62368,automatic,mid-size,coupe,ca
51636,7316762308,sacramento,4000,2012,toyota,camry,gas,163191,automatic,mid-size,sedan,ca
51639,7316758354,sacramento,4790,2003,honda,civic ex,gas,143000,automatic,compact,coupe,ca
51644,7316755391,sacramento,12500,2003,toyota,tundra sr5 4x4,gas,216100,automatic,mid-size,pickup,ca
51651,7316753063,sacramento,24000,1970,chevrolet,el camino,gas,83999,automatic,full-size,pickup,ca
51653,7316752880,sacramento,10991,2008,mercedes-benz,clk-class,gas,89419,automatic,sub-compact,convertible,ca
51654,7316752741,sacramento,16998,2013,ford,focus,gas,75554,manual,compact,hatchback,ca
51657,7316750474,sacramento,5998,2006,audi,a4,gas,126385,automatic,compact,sedan,ca
51660,7316749671,sacramento,6998,2009,mitsubishi,eclipse spyder,gas,143795,automatic,sub-compact,convertible,ca
51661,7316749484,sacramento,10998,2010,mercedes-benz,c-class,gas,91225,automatic,compact,sedan,ca
51672,7316745210,sacramento,24998,2014,mercedes-benz,cls-class,gas,101163,automatic,compact,coupe,ca
51673,7316745007,sacramento,16998,2011,infiniti,g37,gas,129637,automatic,sub-compact,coupe,ca
51676,7316744805,sacramento,16998,2013,toyota,scion fr-s,gas,99435,manual,compact,coupe,ca
51677,7316744672,sacramento,26998,2012,mercedes-benz,cls-class,gas,94758,automatic,compact,coupe,ca
51678,7316744554,sacramento,28998,2015,ford,mustang,gas,57695,manual,sub-compact,coupe,ca
51679,7316744418,sacramento,7998,2006,mercedes-benz,clk-class,gas,109685,automatic,sub-compact,convertible,ca
51680,7316744273,sacramento,29998,2013,mercedes-benz,cls-class,gas,49275,automatic,compact,coupe,ca
51686,7316742702,sacramento,17998,2008,mercedes-benz,cl-class,gas,87352,automatic,compact,coupe,ca
51689,7316742121,sacramento,10998,2009,mercedes-benz,c-class,gas,128312,automatic,compact,sedan,ca
51695,7316741459,sacramento,9998,2009,mercedes-benz,c-class,gas,126925,automatic,compact,sedan,ca
51698,7316741092,sacramento,27998,2012,mercedes-benz,cls-class,gas,72245,automatic,compact,coupe,ca
51700,7316740757,sacramento,9998,2006,toyota,avalon,gas,69147,automatic,full-size,sedan,ca
51703,7316740242,sacramento,19998,2012,bmw,650i,gas,81435,automatic,compact,coupe,ca
51710,7316739468,sacramento,34998,2016,bmw,740i,gas,65465,automatic,full-size,sedan,ca
51717,7316736413,sacramento,7500,2010,toyota,prius,gas,74500,automatic,mid-size,hatchback,ca
51723,7316727714,sacramento,5596,2006,toyota,prius,hybrid,167884,automatic,mid-size,hatchback,ca
51739,7316723343,sacramento,4400,2006,subaru,impreza,gas,215000,automatic,mid-size,sedan,ca
51740,7316722458,sacramento,16000,1970,volkswagen,ghia coupe,gas,60000,manual,sub-compact,sedan,ca
51747,7316719169,sacramento,4999,2006,hyundai,elantra,gas,123929,automatic,compact,sedan,ca
51757,7316710883,sacramento,30500,2013,toyota,tundra,gas,140000,automatic,full-size,truck,ca
51758,7316709233,sacramento,24955,2019,subaru,forester,gas,32309,automatic,mid-size,wagon,ca
51759,7316706940,sacramento,25952,2015,bmw,x5,gas,99282,automatic,mid-size,SUV,ca
51772,7316592611,sacramento,1000,2007,honda,pilot,gas,256000,automatic,full-size,SUV,ca
51779,7316689839,sacramento,9000,2014,nissan,nv200,gas,122500,automatic,full-size,truck,ca
51780,7316689647,sacramento,7999,2016,dodge,grand caravan sxt,gas,88150,automatic,full-size,mini-van,ca
51788,7316554725,sacramento,3400,1987,ford,f-150 custom,gas,230000,automatic,full-size,pickup,ca
51791,7316671120,sacramento,12955,2012,toyota,rav4,gas,105120,automatic,mid-size,SUV,ca
51800,7316661994,sacramento,29998,2019,nissan,armada,gas,37165,automatic,full-size,SUV,ca
51801,7316658521,sacramento,9955,2010,subaru,impreza,gas,91360,automatic,compact,wagon,ca
51802,7316657575,sacramento,30000,1957,ford,thunderbird convertible,gas,47000,manual,compact,convertible,ca
51803,7316641877,sacramento,11555,2016,chevrolet,malibu,gas,100962,automatic,mid-size,sedan,ca
51806,7316632448,sacramento,1950,2004,chrysler,sebring touring,gas,128000,automatic,full-size,sedan,ca
51811,7316617657,sacramento,15200,2004,toyota,tundra,gas,122000,automatic,mid-size,truck,ca
51813,7316615265,sacramento,6000,2011,toyota,camry,gas,127000,automatic,full-size,sedan,ca
51814,7316614195,sacramento,9450,2000,toyota,tacoma,gas,179000,automatic,compact,pickup,ca
51815,7316614046,sacramento,6750,2014,chevrolet,spark,gas,86332,automatic,sub-compact,sedan,ca
51816,7316613654,sacramento,2000,2003,infiniti,g35,gas,148000,automatic,sub-compact,sedan,ca
51817,7316613161,sacramento,9450,2003,toyota,tacoma,gas,180000,automatic,full-size,pickup,ca
51818,7316611655,sacramento,4000,2005,nissan,altima,gas,120000,automatic,mid-size,sedan,ca
51820,7316609564,sacramento,5600,2009,honda,accord lx,gas,105000,automatic,mid-size,sedan,ca
51821,7316608374,sacramento,2000,2006,bmw,x3 awd,gas,143143,automatic,full-size,SUV,ca
51822,7316607883,sacramento,6500,2013,toyota,prius plug-in hybrid,hybrid,155000,automatic,compact,hatchback,ca
51824,7316607558,sacramento,39000,2018,dodge,charger rt,gas,59000,automatic,full-size,sedan,ca
51825,7316607186,sacramento,2000,2013,hyundai,elantra,gas,77447,automatic,full-size,sedan,ca
51826,7316606292,sacramento,2000,2016,chevrolet,impala lt,gas,91474,automatic,full-size,sedan,ca
51827,7316606154,sacramento,2000,2018,ford,focus se,gas,27789,automatic,compact,sedan,ca
51832,7316603004,sacramento,38950,2014,rover,hse,gas,99500,automatic,full-size,SUV,ca
51833,7316602939,sacramento,8999,2011,kia,optima,gas,110000,automatic,full-size,sedan,ca
51834,7316602875,sacramento,5795,2014,nissan,versa note,gas,99960,automatic,mid-size,hatchback,ca
51835,7316602759,sacramento,6200,2009,ford,flex se,gas,144803,automatic,full-size,SUV,ca
51836,7316602624,sacramento,4995,2006,subaru,outback,gas,184000,automatic,full-size,wagon,ca
51837,7316602499,sacramento,7499,2011,mazda,cx-7,gas,84200,automatic,full-size,SUV,ca
51838,7316602390,sacramento,13995,2012,mercedes-benz,gl450,gas,118700,automatic,full-size,SUV,ca
51839,7316602264,sacramento,6395,2014,nissan,sentra sv,gas,107886,automatic,mid-size,sedan,ca
51840,7316602149,sacramento,29000,2013,chevrolet,camaro,gas,35001,manual,mid-size,coupe,ca
51842,7316602091,sacramento,6500,2015,ford,focus se,gas,108208,automatic,mid-size,sedan,ca
51843,7316601947,sacramento,6900,2011,mazda,cx9,gas,135375,automatic,full-size,SUV,ca
51844,7316601840,sacramento,9500,2010,audi,a6 3.0t quattro,gas,99450,automatic,full-size,sedan,ca
51845,7316601712,sacramento,8200,2011,toyota,camry le,gas,112090,automatic,full-size,sedan,ca
51846,7316601591,sacramento,5900,2012,fiat,500,gas,80637,automatic,compact,hatchback,ca
51847,7316601451,sacramento,8499,2013,dodge,journey,gas,100270,automatic,full-size,wagon,ca
51858,7316590746,sacramento,2700,2005,hyundai,sonata,gas,148000,automatic,full-size,sedan,ca
51862,7316587635,sacramento,8300,2013,nissan,rogue,gas,59117,automatic,compact,SUV,ca
51870,7316583412,sacramento,6200,2013,dodge,dart sxt,gas,112553,automatic,sub-compact,sedan,ca
51887,7316573334,sacramento,4500,2005,toyota,camry,gas,191577,automatic,full-size,sedan,ca
51890,7316569723,sacramento,7900,2018,kia,rio,gas,90000,automatic,compact,sedan,ca
51892,7316568343,sacramento,7500,2005,ford,f150,gas,218000,automatic,mid-size,pickup,ca
51893,7316568187,sacramento,12900,2017,gmc,terrain,gas,53500,automatic,mid-size,SUV,ca
51896,7316567068,sacramento,5000,2008,dodge,durango,gas,169000,automatic,full-size,SUV,ca
51898,7316565193,sacramento,5900,2006,lexus,es 330,gas,197000,automatic,full-size,sedan,ca
51906,7316561273,sacramento,2600,2004,chevrolet,aveo ls,gas,96012,automatic,compact,hatchback,ca
51913,7316559030,sacramento,13999,2011,jeep,grand cherokee overland 4x4,gas,132047,automatic,full-size,SUV,ca
51914,7316558073,sacramento,5750,2010,honda,fit hatchback,gas,166973,automatic,compact,hatchback,ca
51915,7316557879,sacramento,5750,2005,lexus,rx330 awd,gas,198008,automatic,full-size,SUV,ca
51916,7316557678,sacramento,6950,2007,bmw,x5 3.0i,gas,126563,automatic,full-size,SUV,ca
51918,7316557224,sacramento,15000,2012,honda,civic lx,gas,83213,automatic,compact,sedan,ca
51920,7316556714,sacramento,9200,2009,mini,cooper,gas,107500,automatic,compact,coupe,ca
51922,7316554937,sacramento,13999,2013,ford,escape titanium awd,gas,100900,automatic,full-size,SUV,ca
51930,7316553471,sacramento,0,2012,ford,f250 super duty,gas,102219,automatic,full-size,truck,ca
51931,7316553355,sacramento,2500,2008,chevrolet,impala lt,gas,145993,automatic,full-size,sedan,ca
51932,7316552774,sacramento,19500,2013,bmw,535i m sport,gas,58000,automatic,full-size,sedan,ca
51939,7316549938,sacramento,13999,2007,toyota,4runner sr5,gas,129975,automatic,mid-size,SUV,ca
51951,7316548191,sacramento,4395,2007,toyota,matrix,gas,172000,automatic,compact,hatchback,ca
51954,7316546946,sacramento,27998,2017,dodge,charger scat pack daytona,gas,77124,automatic,full-size,sedan,ca
51956,7316546560,sacramento,4350,2008,toyota,prius hybrid,hybrid,191922,automatic,compact,hatchback,ca
51959,7316545118,sacramento,17998,2016,dodge,charger rt,gas,88516,automatic,full-size,sedan,ca
51964,7316543229,sacramento,1500,2008,bmw,x5 3.0si,gas,109008,automatic,mid-size,SUV,ca
51965,7316541854,sacramento,0,2010,mitsubishi,fuso,diesel,1,automatic,full-size,truck,ca
51972,7316539406,sacramento,2500,2009,bmw,m6,gas,113505,automatic,compact,coupe,ca
51973,7316539366,sacramento,12999,2007,chevrolet,suburban,gas,191532,automatic,full-size,SUV,ca
51977,7316536975,sacramento,0,2015,ford,f-550 f550 f 550,gas,267172,automatic,full-size,truck,ca
51981,7316535612,sacramento,0,2012,mercedes-benz,c-class,gas,109534,automatic,compact,coupe,ca
52020,7316531711,sacramento,19998,2014,toyota,tacoma,gas,40451,manual,full-size,truck,ca
52021,7316531696,sacramento,19998,2006,ford,f-150,gas,59568,automatic,full-size,truck,ca
52022,7316531693,sacramento,36998,2012,ford,f-350 sd,gas,53622,automatic,full-size,truck,ca
52023,7316531662,sacramento,34998,2012,ram,2500,gas,44430,automatic,full-size,truck,ca
52024,7316531379,sacramento,22999,2001,porsche,911 carrera cabriolet,gas,84899,automatic,mid-size,convertible,ca
52026,7316530292,sacramento,45000,2018,ram,2500,diesel,11000,automatic,full-size,truck,ca
52081,7316526379,sacramento,7499,2014,kia,forte,gas,116000,automatic,mid-size,sedan,ca
52082,7316526101,sacramento,8999,2016,kia,forte,gas,62000,automatic,full-size,sedan,ca
52085,7316524208,sacramento,8999,2017,hyundai,sonata,gas,116000,automatic,full-size,sedan,ca
52087,7316523091,sacramento,6999,2017,hyundai,accent,gas,108000,automatic,mid-size,hatchback,ca
52088,7316522379,sacramento,4000,2009,toyota,camry hybrid,hybrid,234433,automatic,full-size,sedan,ca
52089,7316522211,sacramento,13699,2015,honda,accord,gas,92000,automatic,full-size,sedan,ca
52091,7316521532,sacramento,9588,2011,bmw,328i xdrive,gas,96000,automatic,full-size,sedan,ca
52092,7316520576,sacramento,9588,2008,bmw,x5,gas,108000,automatic,full-size,SUV,ca
52097,7316516331,sacramento,6400,2010,ford,escape xlt,gas,149000,automatic,mid-size,SUV,ca
52105,7316514798,sacramento,2200,1999,honda,civic ex,gas,201240,automatic,mid-size,coupe,ca
52110,7316511778,sacramento,9999,2011,volkswagen,jetta wagon se,gas,151151,automatic,mid-size,wagon,ca
52114,7316510897,sacramento,3200,2004,nissan,sentra 1.8,gas,176000,manual,full-size,sedan,ca
52116,7316510599,sacramento,3800,2008,honda,accord ex,gas,263923,automatic,full-size,sedan,ca
52117,7316510485,sacramento,16991,2011,bmw,335i,gas,90635,automatic,compact,convertible,ca
52119,7316510279,sacramento,2000,1998,acura,integra ls,gas,205000,automatic,mid-size,sedan,ca
52122,7316508571,sacramento,1800,2006,ford,taurus se,gas,295000,automatic,full-size,sedan,ca
52129,7316503972,sacramento,7599,2008,volkswagen,gti,gas,109232,automatic,compact,hatchback,ca
52130,7316503258,sacramento,0,1977,bmw,320i,gas,99999,manual,compact,coupe,ca
52132,7316503227,sacramento,2850,2003,toyota,camry,gas,168000,automatic,mid-size,sedan,ca
52145,7316499780,sacramento,17,1999,ford,f250 ext cab 4x4,diesel,222000,automatic,full-size,pickup,ca
52146,7316499509,sacramento,10950,1990,mazda,miata,gas,147000,manual,compact,convertible,ca
52151,7316497481,sacramento,1,2008,toyota,prius touring,hybrid,134000,automatic,compact,hatchback,ca
52153,7316497186,sacramento,7995,2011,toyota,avalon,gas,162000,automatic,mid-size,sedan,ca
52155,7316495313,sacramento,8500,2006,lexus,rx400h,hybrid,134000,automatic,mid-size,SUV,ca
52158,7316494257,sacramento,2800,2004,volkswagen,passat gls 1.8t,gas,213567,manual,mid-size,sedan,ca
52166,7316490161,sacramento,4000,2001,mazda,tribute es-v6,gas,157400,automatic,mid-size,SUV,ca
52168,7316489706,sacramento,3000,2003,ford,explorer slt 4x4,gas,174845,automatic,mid-size,SUV,ca
52177,7316484758,sacramento,2499,1996,honda,accord ex,gas,220915,automatic,full-size,coupe,ca
52185,7316479583,sacramento,2200,1993,ford,ranger,gas,210000,automatic,compact,pickup,ca
52188,7316478650,sacramento,2600,2000,buick,lesabre limited,gas,174971,automatic,full-size,sedan,ca
52189,7316478469,sacramento,0,2010,honda,civic,gas,145101,automatic,sub-compact,sedan,ca
52200,7316471557,sacramento,13993,2011,lexus,is,gas,89426,automatic,sub-compact,sedan,ca
52203,7316469852,sacramento,30000,2016,dodge,challenger r/t,gas,16322,automatic,compact,coupe,ca
52206,7316468794,sacramento,6500,2005,nissan,altima 2.5 sl,gas,66500,automatic,mid-size,sedan,ca
52208,7316466820,sacramento,64991,2015,mercedes-benz,s-class,gas,63703,automatic,full-size,sedan,ca
52213,7316464867,sacramento,800,2004,jeep,liberty limited,gas,211294,automatic,mid-size,SUV,ca
52222,7316461930,sacramento,10999,2014,chrysler,300,gas,138313,automatic,full-size,sedan,ca
52227,7316460172,sacramento,12998,2014,dodge,charger r/t plus,gas,103625,automatic,full-size,sedan,ca
52231,7316457703,sacramento,5499,2009,chrysler,300,gas,162061,automatic,full-size,sedan,ca
52232,7316457452,sacramento,6499,2006,mercedes-benz,r-class,gas,172062,automatic,full-size,wagon,ca
52233,7316457084,sacramento,4999,2000,dodge,dakota,gas,194848,automatic,full-size,truck,ca
52234,7316456818,sacramento,4499,2001,lexus,es 300,gas,135313,automatic,full-size,sedan,ca
52235,7316456515,sacramento,6499,2013,dodge,avenger,gas,124603,automatic,full-size,sedan,ca
52236,7316456257,sacramento,5499,2008,chrysler,300,gas,172518,automatic,full-size,sedan,ca
52249,7316447272,sacramento,61988,2017,ford,super duty f-250,diesel,19258,automatic,full-size,truck,ca
52252,7316445363,sacramento,5200,2004,toyota,sienna,gas,175950,automatic,full-size,mini-van,ca
52255,7316443630,sacramento,10600,2018,chevrolet,equinox,gas,100947,automatic,mid-size,SUV,ca
52256,7316442557,sacramento,23988,2013,toyota,highlander,gas,48315,automatic,mid-size,SUV,ca
52258,7316441076,sacramento,39857,2012,chevrolet,silverado 2500hd,diesel,61334,automatic,full-size,truck,ca
52259,7316440935,sacramento,0,2005,ford,excursion,gas,182750,automatic,full-size,SUV,ca
52268,7316437210,sacramento,17000,2014,subaru,forester 2.0xt premium,gas,38225,automatic,compact,wagon,ca
52275,7316430703,sacramento,15988,2016,audi,a4,other,86265,automatic,compact,sedan,ca
52277,7316427283,sacramento,16000,2004,ram,2500,diesel,200000,automatic,full-size,truck,ca
52284,7316428092,sacramento,7999,2016,dodge,grand caravan sxt,gas,88150,automatic,full-size,mini-van,ca
52291,7316421275,sacramento,28995,2017,chevrolet,tahoe lt,gas,147225,automatic,full-size,SUV,ca
52293,7316420371,sacramento,3999,2008,honda,odyssey exl,gas,279122,automatic,full-size,mini-van,ca
52296,7316416012,sacramento,7900,2004,toyota,4runner sr5,gas,174000,automatic,full-size,SUV,ca
52300,7316413557,sacramento,22786,2014,chevrolet,silverado 1500,gas,183002,automatic,mid-size,truck,ca
52303,7316412957,sacramento,29853,2013,toyota,sequoia,gas,87289,automatic,full-size,SUV,ca
52313,7316410081,sacramento,13988,2013,toyota,prius c hybrid,hybrid,44789,automatic,compact,hatchback,ca
52315,7316409422,sacramento,16999,2011,jaguar,xj,gas,105930,automatic,full-size,sedan,ca
52319,7316406150,sacramento,0,2006,toyota,tacoma,gas,166835,automatic,compact,truck,ca
52320,7316406044,sacramento,28000,2012,gmc,sierra 2500 hd 4x4,gas,50335,automatic,full-size,pickup,ca
52336,7316392253,sacramento,0,2018,kia,soul ev,electric,13816,automatic,compact,wagon,ca
52342,7316387859,sacramento,5900,1999,chevrolet,silverado,gas,225,automatic,full-size,truck,ca
52347,7316383777,sacramento,8500,2007,lexus,rx400h,gas,179000,automatic,full-size,SUV,ca
52353,7316380175,sacramento,15991,2017,volkswagen,jetta,gas,76145,manual,compact,sedan,ca
52356,7316379234,sacramento,2000,2005,nissan,frontier crew cab,gas,208552,manual,mid-size,pickup,ca
52361,7316377171,sacramento,10500,2010,bmw,328i,gas,23800,automatic,mid-size,sedan,ca
52362,7316377067,sacramento,10999,2011,toyota,camry le,gas,106353,automatic,full-size,sedan,ca
52373,7316373819,sacramento,22000,1995,volkswagen,eurovan camper,gas,189457,automatic,full-size,van,ca
52375,7316372829,sacramento,17787,2007,toyota,tacoma,gas,200760,automatic,compact,truck,ca
52382,7316369702,sacramento,23988,2011,ford,f-250 super duty xlt super,other,170724,automatic,full-size,pickup,ca
52385,7316367549,sacramento,17950,2006,chevrolet,corvette convertible,gas,92851,automatic,full-size,convertible,ca
52386,7316367406,sacramento,9000,2008,ford,f-250,diesel,119100,automatic,full-size,pickup,ca
52389,7316366982,sacramento,12500,2006,toyota,tacoma,gas,109000,manual,mid-size,truck,ca
52395,7316360494,sacramento,3700,2006,nissan,altima,gas,201000,automatic,mid-size,sedan,ca
52398,7316359157,sacramento,3000,2001,honda,accord,gas,178000,automatic,mid-size,coupe,ca
52400,7316358960,sacramento,9988,2011,lexus,ct,other,118492,automatic,compact,hatchback,ca
52404,7316358565,sacramento,27998,2008,bmw,m3,gas,115652,manual,compact,coupe,ca
52414,7316354964,sacramento,13998,2013,audi,a5,other,114912,automatic,sub-compact,coupe,ca
52416,7316354567,sacramento,17998,2014,infiniti,q60,gas,110035,manual,sub-compact,convertible,ca
52417,7316354344,sacramento,14998,2011,bmw,335i,gas,93239,automatic,compact,coupe,ca
52419,7316354212,sacramento,11998,2013,mercedes-benz,c-class,gas,107873,automatic,compact,sedan,ca
52420,7316354005,sacramento,13998,2013,mercedes-benz,c-class,gas,76710,automatic,compact,sedan,ca
52421,7316353725,sacramento,6998,2007,mercedes-benz,c-class,other,124565,automatic,compact,sedan,ca
52425,7316353062,sacramento,24998,2013,audi,s5,gas,93525,manual,sub-compact,coupe,ca
52427,7316352708,sacramento,15998,2012,bmw,750i / alpina b7,gas,99135,automatic,full-size,sedan,ca
52439,7316348510,sacramento,7400,2014,fiat,500,gas,78075,manual,sub-compact,hatchback,ca
52440,7316348435,sacramento,5750,2007,bmw,325i,gas,175000,automatic,compact,sedan,ca
52554,7316334327,sacramento,6299,2007,chevrolet,trailblazer,gas,127513,automatic,mid-size,SUV,ca
52557,7316328335,sacramento,6500,2008,mercedes-benz,benz e320 bluetec,diesel,214244,automatic,mid-size,sedan,ca
52558,7316328211,sacramento,33198,2016,ford,f250 super duty,gas,75433,automatic,full-size,pickup,ca
52564,7316320209,sacramento,14500,2010,lexus,is250,gas,68300,automatic,compact,sedan,ca
52570,7316318509,sacramento,18000,1946,ford,super deluxe,gas,73000,manual,full-size,coupe,ca
52580,7316315685,sacramento,7000,2002,toyota,tacoma,gas,244000,automatic,mid-size,pickup,ca
52581,7316314259,sacramento,1500,2008,lexus,is 250,gas,120205,automatic,compact,sedan,ca
52583,7316313642,sacramento,2000,2014,chevrolet,camaro ss convertible,gas,147425,automatic,compact,convertible,ca
52593,7316310368,sacramento,0,2014,chevrolet,camaro,gas,71627,automatic,compact,coupe,ca
52596,7316309128,sacramento,12000,2005,ford,f-350,diesel,340000,automatic,full-size,truck,ca
52599,7316307654,sacramento,33899,2016,chevrolet,colorado z71 diesel,diesel,75000,automatic,mid-size,truck,ca
52611,7316299248,sacramento,4000,2015,nissan,altima,gas,123061,automatic,mid-size,sedan,ca
52612,7316298958,sacramento,5200,2015,nissan,versa sv,gas,81000,automatic,compact,sedan,ca
52618,7316297871,sacramento,7000,2010,mercedes-benz,e350,gas,63752,automatic,mid-size,sedan,ca
52622,7316294481,sacramento,3800,2011,chevrolet,malibu lt,gas,238000,automatic,mid-size,sedan,ca
52624,7316293727,sacramento,3800,2001,chevrolet,tahoe ls 4x4,gas,238000,automatic,full-size,SUV,ca
52630,7316291977,sacramento,12000,2018,nissan,versa note,gas,48000,automatic,compact,hatchback,ca
52641,7316288997,sacramento,4000,2012,toyota,prius,gas,117979,automatic,compact,hatchback,ca
52647,7316286841,sacramento,3500,2012,ford,focus sel,gas,202550,automatic,compact,hatchback,ca
52652,7316281861,sacramento,19949,2014,ford,explorer,gas,70915,automatic,full-size,SUV,ca
52664,7316273962,sacramento,900,1999,subaru,legacy outback,gas,204000,automatic,compact,hatchback,ca
52669,7316271711,sacramento,12950,2012,lexus,ct200h,hybrid,86122,automatic,compact,hatchback,ca
52689,7316264129,sacramento,17650,2011,mercedes-benz,benz e350,gas,55340,automatic,mid-size,sedan,ca
